"Name","gene_name","chr","pos","Relation_to_Island","UCSC_RefGene_Group"
"cg01972826_BC21","CRH","chr8",66179675,"Shore","TSS1500"
"cg17578833_BC21","CRH","chr8",66178823,"Shore","TSS1500"
"cg19696975_BC21","CRH","chr8",66179214,"Shore","TSS1500"
"cg23990470_TC21","CRH","chr8",66179847,"Shelf","TSS1500"
"cg12668398_TC21","CRH","chr8",66168941,"OpenSea",""
"cg12668395_BC21","CRH","chr8",66168572,"OpenSea",""
"cg12668381_TC21","CRH","chr8",66166890,"OpenSea",""
"cg11338426_TC11","CRHR1","chr17",45784302,"Island","TSS200;TSS200;TSS200;TSS200;TSS200;TSS200"
"cg04856689_TC11","CRHR1","chr17",45784666,"Island",""
"cg00911364_BC11","CRHR1","chr17",45845434,"OpenSea","exon_1"
"cg13947929_TC11","CRHR1","chr17",45785990,"Shore",""
"cg13521908_BC11","CRHR1","chr17",45784316,"Island","TSS200;TSS200;TSS200;TSS200;TSS200;TSS200"
"cg27503360_TC11","CRHR1","chr17",45813383,"OpenSea",""
"cg08473090_TC11","CRHR1","chr17",45783738,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg11731737_TC11","CRHR1","chr17",45785251,"Island",""
"cg26656751_BC11","CRHR1","chr17",45832860,"OpenSea",""
"cg22608552_BO11","CRHR1","chr17",45790617,"OpenSea",""
"cg16830379_TC21","CRHR1","chr17",45835068,"OpenSea","exon_14;3UTR;exon_12;3UTR;exon_12;3UTR;exon_11;3UTR;exon_12;3UTR;exon_13;3UTR;exon_15;3UTR;exon_13;3UTR"
"cg08929103_TC21","CRHR1","chr17",45782989,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg07778819_TC21","CRHR1","chr17",45785561,"Island",""
"cg24063856_BC21","CRHR1","chr17",45785937,"Shore",""
"cg10256584_BC21","CRHR1","chr17",45814991,"OpenSea",""
"cg03323388_TC21","CRHR1","chr17",45811410,"OpenSea",""
"cg11760414_TC21","CRHR1","chr17",45786032,"Shore",""
"cg15834779_BC21","CRHR1","chr17",45842210,"OpenSea",""
"cg08043197_BC21","CRHR1","chr17",45824356,"OpenSea",""
"cg23452480_BC21","CRHR1","chr17",45844271,"OpenSea","TSS1500"
"cg00025823_BC21","CRHR1","chr17",45831785,"OpenSea",""
"cg03723148_TC21","CRHR1","chr17",45844497,"OpenSea","TSS1500"
"cg27410679_BC21","CRHR1","chr17",45788912,"Shelf",""
"cg00022871_TC21","CRHR1","chr17",45806992,"OpenSea",""
"cg12577105_TC21","CRHR1","chr17",45783319,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg24394631_TC21","CRHR1","chr17",45785634,"Shore",""
"cg23907852_TC21","CRHR1","chr17",45844878,"OpenSea","TSS200"
"cg15607306_BC21","CRHR1","chr17",45806477,"OpenSea",""
"cg24515861_BC21","CRHR1","chr17",45844756,"OpenSea","TSS200"
"cg27551605_BC21","CRHR1","chr17",45785544,"Island",""
"cg03066966_BC21","CRHR1","chr17",45824703,"OpenSea",""
"cg23420656_TC21","CRHR1","chr17",45787665,"Shelf",""
"cg02122296_BC21","CRHR1","chr17",45832290,"OpenSea",""
"cg22608650_TC21","CRHR1","chr17",45796172,"OpenSea",""
"cg25719092_TC21","CRHR1","chr17",45777781,"OpenSea",""
"cg09251165_BC21","CRHR1","chr17",45816723,"OpenSea",""
"cg02833950_TC21","CRHR1","chr17",45776223,"OpenSea",""
"cg01825492_BC21","CRHR1","chr17",45829487,"OpenSea",""
"cg09422970_BC21","CRHR1","chr17",45793171,"OpenSea",""
"cg10106856_TC21","CRHR1","chr17",45802844,"OpenSea",""
"cg07657976_TC21","CRHR1","chr17",45809839,"OpenSea",""
"cg15117716_TC21","CRHR1","chr17",45794171,"OpenSea",""
"cg17311440_TC21","CRHR1","chr17",45823318,"OpenSea",""
"cg14321938_BC21","CRHR1","chr17",45844417,"OpenSea","TSS1500"
"cg24738082_TC21","CRHR1","chr17",45821395,"OpenSea","exon_4;exon_3;exon_4;exon_4;5UTR;exon_6"
"cg01893882_TC21","CRHR1","chr17",45843947,"OpenSea","exon_2;TSS1500"
"cg25973941_TC21","CRHR1","chr17",45844750,"OpenSea","TSS200"
"cg22939704_BC21","CRHR1","chr17",45781899,"Shore",""
"cg15844800_BC21","CRHR1","chr17",45838867,"OpenSea",""
"cg02810898_TC21","CRHR1","chr17",45804195,"OpenSea",""
"cg22608153_BC21","CRHR1","chr17",45775057,"OpenSea",""
"cg22608584_TC21","CRHR1","chr17",45792357,"OpenSea",""
"cg22046703_BC21","CRHR1","chr17",45783106,"Shore","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg22609359_BC21","CRHR1","chr17",45834467,"OpenSea",""
"cg22609396_BC21","CRHR1","chr17",45836260,"OpenSea",""
"cg11524343_BC21","CRHR1","chr17",45828276,"OpenSea",""
"cg22609335_BC21","CRHR1","chr17",45833482,"OpenSea","exon_11;exon_9;exon_10;exon_8;exon_9;exon_10;exon_12;exon_11"
"cg14297797_BC21","CRHR1","chr17",45790435,"OpenSea",""
"cg22609244_BC21","CRHR1","chr17",45828404,"OpenSea",""
"cg15218995_TC21","CRHR1","chr17",45845057,"OpenSea","exon_1"
"cg08568298_TC21","CRHR1","chr17",45844874,"OpenSea","TSS200"
"cg11434527_BC21","CRHR1","chr17",45844199,"OpenSea","TSS1500"
"cg03882071_TC21","CRHR1","chr17",45844844,"OpenSea","TSS200"
"cg15072306_BC21","CRHR1","chr17",45845509,"OpenSea","exon_1"
"cg15679139_TC21","CRHR1","chr17",45844119,"OpenSea","exon_2;TSS1500"
"cg17612147_TC21","CRHR1","chr17",45844990,"OpenSea","exon_1"
"cg18757974_BC21","CRHR1","chr17",45783325,"Island","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg18534039_BC21","CRHR1","chr17",45805706,"OpenSea",""
"cg24353392_BC21","CRHR1","chr17",45784881,"Island",""
"cg22608628_TC21","CRHR1","chr17",45794935,"OpenSea",""
"cg22608583_BC21","CRHR1","chr17",45792310,"OpenSea",""
"cg22608582_TC21","CRHR1","chr17",45792261,"OpenSea",""
"cg22608550_TC21","CRHR1","chr17",45790534,"OpenSea",""
"cg22608159_BC21","CRHR1","chr17",45775413,"OpenSea",""
"cg22608158_BC21","CRHR1","chr17",45775377,"OpenSea",""
"cg14896516_BC11","CRHR2","chr7",30682745,"Island","TSS1500;TSS1500;TSS1500"
"cg04863452_TC11","CRHR2","chr7",30682547,"Island","TSS200;TSS200;TSS200"
"cg01718447_TC11","CRHR2","chr7",30682711,"Island","TSS1500;TSS1500;TSS1500"
"cg09516959_TC11","CRHR2","chr7",30681862,"Island",""
"cg24214442_TC11","CRHR2","chr7",30682372,"Island","exon_1;5UTR;exon_1;5UTR;exon_1;5UTR"
"cg13094036_BC11","CRHR2","chr7",30682743,"Island","TSS1500;TSS1500;TSS1500"
"cg21773872_TC11","CRHR2","chr7",30682704,"Island","TSS1500;TSS1500;TSS1500"
"cg27345762_BC11","CRHR2","chr7",30694425,"OpenSea",""
"cg24610236_TC11","CRHR2","chr7",30682498,"Island","TSS200;TSS200;TSS200"
"cg27430726_TC11","CRHR2","chr7",30682374,"Island","exon_1;5UTR;exon_1;5UTR;exon_1;5UTR"
"cg02712145_TC21","CRHR2","chr7",30682817,"Island","TSS1500;TSS1500;TSS1500"
"cg04922810_TC21","CRHR2","chr7",30682272,"Island","exon_1;exon_1;exon_1"
"cg03667083_TC21","CRHR2","chr7",30681394,"Shore",""
"cg18351440_TC21","CRHR2","chr7",30701445,"OpenSea","TSS1500;TSS1500"
"cg23068772_TC21","CRHR2","chr7",30697445,"OpenSea",""
"cg03012028_TC21","CRHR2","chr7",30700196,"OpenSea","TSS200;TSS200"
"cg13134297_TC21","CRHR2","chr7",30697940,"OpenSea",""
"cg25936815_TC21","CRHR2","chr7",30701293,"OpenSea","TSS1500;TSS1500"
"cg06866646_BC21","CRHR2","chr7",30661593,"OpenSea",""
"cg23185751_BC21","CRHR2","chr7",30680547,"Shore",""
"cg26262196_BC21","CRHR2","chr7",30656924,"OpenSea",""
"cg26415343_TC21","CRHR2","chr7",30643788,"OpenSea",""
"cg21110092_TC21","CRHR2","chr7",30701003,"OpenSea","TSS1500;TSS1500"
"cg01049782_TC21","CRHR2","chr7",30678338,"Shelf",""
"cg04923928_BC21","CRHR2","chr7",30682181,"Island","exon_1;exon_1;exon_1"
"cg07658503_BC21","CRHR2","chr7",30682561,"Island","TSS200;TSS200;TSS200"
"cg08913410_BC21","CRHR2","chr7",30687243,"OpenSea",""
"cg18285819_BC21","CRHR2","chr7",30697014,"OpenSea",""
"cg01819552_BC21","CRHR2","chr7",30667301,"OpenSea","exon_4;exon_5;exon_3;exon_3;exon_3"
"cg01972879_TC21","CRHR2","chr7",30681285,"Shore",""
"cg15615793_BC21","CRHR2","chr7",30683027,"Shore","TSS1500;TSS1500;TSS1500"
"cg09797340_TC21","CRHR2","chr7",30709773,"OpenSea",""
"cg18911683_TC21","CRHR2","chr7",30697304,"OpenSea",""
"cg25014458_TC21","CRHR2","chr7",30705541,"OpenSea",""
"cg24430106_TC21","CRHR2","chr7",30659576,"OpenSea",""
"cg25639595_BC21","CRHR2","chr7",30652998,"OpenSea","3UTR;exon_13;3UTR;exon_14;3UTR;exon_12;3UTR;exon_13;3UTR;exon_12"
"cg10740877_BC21","CRHR2","chr7",30650716,"OpenSea",""
"cg22826063_TC21","CRHR2","chr7",30689029,"OpenSea",""
"cg02272761_TC21","CRHR2","chr7",30647442,"OpenSea",""
"cg16755766_BC21","CRHR2","chr7",30665784,"OpenSea",""
"cg06175988_TC21","CRHR2","chr7",30679611,"Shelf",""
"cg19920989_TC21","CRHR2","chr7",30700849,"OpenSea","TSS1500;TSS1500"
"cg01179849_BC21","CRHR2","chr7",30702335,"OpenSea",""
"cg13543555_TC21","CRHR2","chr7",30682551,"Island","TSS200;TSS200;TSS200"
"cg27191795_BC21","CRHR2","chr7",30678402,"Shelf",""
"cg12511160_TC21","CRHR2","chr7",30672114,"OpenSea",""
"cg05877083_BC21","CRHR2","chr7",30663841,"OpenSea",""
"cg03484834_BC21","CRHR2","chr7",30658285,"OpenSea",""
"cg18266052_TC21","CRHR2","chr7",30682281,"Island","exon_1;5UTR;exon_1;5UTR;exon_1;5UTR"
"cg03216944_BC21","CRHR2","chr7",30644427,"OpenSea",""
"cg17924854_BC21","CRHR2","chr7",30667279,"OpenSea","exon_4;exon_5;exon_3;exon_3;exon_3"
"cg00599823_BC21","CRHR2","chr7",30646417,"OpenSea",""
"cg10838574_BC21","CRHR2","chr7",30698770,"OpenSea",""
"cg16127724_BC21","CRHR2","chr7",30698856,"OpenSea",""
"cg10837890_TC21","CRHR2","chr7",30645563,"OpenSea",""
"cg24976805_BC21","CRP","chr1",159715894,"OpenSea","TSS1500;TSS1500;TSS1500;TSS1500"
"cg08474603_BC21","CRP","chr1",159714641,"OpenSea","TSS200;TSS200;TSS200;TSS200"
"cg01365152_BC21","CRP","chr1",159714023,"OpenSea","exon_2;exon_2;exon_2;exon_2"
"cg15553852_TC21","CRP","chr1",159714131,"OpenSea","exon_2;exon_2;exon_2;exon_2"
"cg09267046_TC21","CRP","chr1",159713557,"OpenSea","exon_2;exon_2;exon_3;exon_3"
"cg15076824_BC21","CRP","chr1",159715395,"OpenSea","TSS1500;TSS1500;TSS1500;TSS1500"
"cg06779393_BC21","CRP","chr1",159714547,"OpenSea","exon_1;5UTR;exon_1;5UTR;exon_1;5UTR;exon_1;5UTR"
"cg03543081_BC21","CRP","chr1",159714696,"OpenSea","TSS200;TSS200;TSS200;TSS200"
"cg04861230_TC21","CRP","chr1",159712707,"OpenSea","3UTR;exon_2;3UTR;exon_3;3UTR;exon_3"
"cg25257346_TC21","CRP","chr1",159713827,"OpenSea","exon_2;exon_2"
"cg21571784_TC21","CRP","chr1",159713839,"OpenSea","exon_2;exon_2"
"cg23615393_BC21","CRP","chr1",159713893,"OpenSea","exon_2;exon_2"
"cg14135757_TC11","CRY1","chr12",106987184,"Island","TSS200;TSS200"
"cg03742214_BC11","CRY1","chr12",107093605,"Island","TSS200"
"cg10126874_BC11","CRY1","chr12",107093319,"Island","exon_1;5UTR"
"cg06758649_TC11","CRY1","chr12",106987327,"Shore","TSS200;TSS200"
"cg04801236_TC11","CRY1","chr12",107093231,"Island","exon_1;5UTR"
"cg21581733_BC11","CRY1","chr12",106987152,"Island","TSS200;TSS200"
"cg03853227_TC11","CRY1","chr12",107093587,"Island","TSS200"
"cg12758451_BC11","CRY1","chr12",106987225,"Island","TSS200;TSS200"
"cg18038956_BC11","CRY1","chr12",107093234,"Island","exon_1;5UTR"
"cg04213305_TC11","CRY1","chr12",107093206,"Island","exon_1;5UTR"
"cg12281694_TC11","CRY1","chr12",107093934,"Island","TSS1500"
"cg26212496_TC11","CRY1","chr12",107093930,"Island","TSS1500"
"cg16345521_TC11","CRY1","chr12",107093023,"Island","exon_1;5UTR"
"cg24646513_TC21","CRY1","chr12",106986721,"Shore",""
"cg11146884_TC21","CRY1","chr12",107094022,"Island","TSS1500"
"cg27067282_BC21","CRY1","chr12",107094096,"Shore","TSS1500"
"cg21834204_TC21","CRY1","chr12",106987693,"Shore","TSS1500;TSS1500"
"cg20193872_BC21","CRY1","chr12",107094818,"Shore","TSS1500"
"cg03459784_BC21","CRY1","chr12",107094371,"Shore","TSS1500"
"cg07730007_BC21","CRY1","chr12",106983499,"Shelf",""
"cg07870003_BC21","CRY1","chr12",106987297,"Island","TSS200;TSS200"
"cg00442220_TC21","CRY1","chr12",107079937,"OpenSea",""
"cg03073714_BC21","CRY1","chr12",107090578,"Shelf",""
"cg18121829_TC21","CRY1","chr12",106994963,"OpenSea",""
"cg23544168_BC21","CRY1","chr12",107014111,"OpenSea",""
"cg00685115_BC21","CRY1","chr12",107092710,"Shore",""
"cg21935516_BC21","CRY1","chr12",106987927,"Shore","TSS1500;TSS1500"
"cg19047049_BC21","CRY1","chr12",107094416,"Shore","TSS1500"
"cg08756366_BC21","CRY1","chr12",107050438,"OpenSea",""
"cg06233689_TC21","CRY1","chr12",106998998,"OpenSea",""
"cg05296753_TC21","CRY1","chr12",107001921,"OpenSea","exon_4"
"cg18690793_BC21","CRY1","chr12",106999038,"OpenSea",""
"cg02852211_BC21","CRY1","chr12",107093707,"Island","TSS200"
"cg02504447_BC21","CRY1","chr12",106999411,"OpenSea",""
"cg26119123_BC21","CRY1","chr12",107027410,"OpenSea",""
"cg10668648_TC21","CRY1","chr12",106998110,"OpenSea",""
"cg08714901_BC21","CRY1","chr12",107057425,"OpenSea",""
"cg18038274_BC21","CRY1","chr12",106997547,"OpenSea","exon_9"
"cg06205108_TC21","CRY1","chr12",107094435,"Shore","TSS1500"
"cg18038563_BC21","CRY1","chr12",107038571,"OpenSea",""
"cg04423613_BC21","CRY1","chr12",106985589,"Shore",""
"cg26520722_BC21","CRY1","chr12",107092451,"Shore",""
"cg25022611_BC21","CRY1","chr12",106986485,"Shore",""
"cg20259552_BC21","CRY1","chr12",106990903,"Shelf",""
"cg18038255_BC21","CRY1","chr12",106993817,"OpenSea",""
"cg07735826_TC21","CRY1","chr12",106987722,"Shore","TSS1500;TSS1500"
"cg01618083_TC11","CRY2","chr11",45847442,"Island","TSS200"
"cg09847284_TC11","CRY2","chr11",45885520,"Island","TSS200"
"cg22234194_TC11","CRY2","chr11",45847328,"Island","TSS200"
"cg02615000_BC11","CRY2","chr11",45885603,"Island","TSS200"
"cg15719126_TC11","CRY2","chr11",45885596,"Island","TSS200"
"cg17367356_BC11","CRY2","chr11",45885527,"Island","TSS200"
"cg24754334_BC11","CRY2","chr11",45847405,"Island","TSS200"
"cg13762257_TC11","CRY2","chr11",45843349,"Shelf",""
"cg22456085_TC11","CRY2","chr11",45885436,"Shore","TSS1500"
"cg26260819_BC11","CRY2","chr11",45847498,"Island","exon_1"
"cg03491478_BC21","CRY2","chr11",45885363,"Shore","TSS1500"
"cg03568064_BC21","CRY2","chr11",45885949,"Island",""
"cg24691578_BC21","CRY2","chr11",45847937,"Shore",""
"cg23097878_TC21","CRY2","chr11",45858179,"OpenSea",""
"cg24354272_BC21","CRY2","chr11",45846479,"Shore","TSS1500;TSS1500"
"cg26125082_TC21","CRY2","chr11",45846867,"Shore","TSS1500;TSS1500"
"cg07326765_TC21","CRY2","chr11",45846898,"Shore","TSS1500;TSS1500"
"cg14618246_BC21","CRY2","chr11",45866507,"OpenSea",""
"cg07528484_BC21","CRY2","chr11",45886257,"Island",""
"cg07524456_TC21","CRY2","chr11",45846950,"Shore","TSS1500;TSS200"
"cg21002528_TC21","CRY2","chr11",45882203,"Shelf","3UTR;exon_12;3UTR;exon_12"
"cg15812322_BC21","CRY2","chr11",45846847,"Shore","TSS1500;TSS1500"
"cg24305156_BC21","CRY2","chr11",45850385,"Shelf",""
"cg19142399_TC21","CRY2","chr11",45884948,"Shore","TSS1500"
"cg12208899_BC21","CRY2","chr11",45876496,"OpenSea",""
"cg02208899_TC21","CRY2","chr11",45847861,"Island",""
"cg12977328_BC21","CRY2","chr11",45888262,"Shelf",""
"cg21865108_TC21","CRY2","chr11",45873066,"OpenSea",""
"cg24774960_TC21","CRY2","chr11",45885074,"Shore","TSS1500"
"cg20879606_BC21","CRY2","chr11",45847381,"Island","TSS200"
"cg13809236_BC21","CRY2","chr11",45886485,"Shore",""
"cg24361620_TC21","CRY2","chr11",45847236,"Island","5UTR;exon_1;TSS1500"
"cg15675740_BC21","CRY2","chr11",45853066,"OpenSea",""
"cg15616511_TC21","CRY2","chr11",45865864,"OpenSea",""
"cg26742859_TC21","CRY2","chr11",45847219,"Island","5UTR;exon_1;TSS1500"
"cg04200323_TC21","CRY2","chr11",45885518,"Island","TSS200"
"cg11112908_TC21","CRY2","chr11",45861036,"OpenSea",""
"cg25904177_TC21","CRY2","chr11",45863014,"OpenSea",""
"cg21461157_BC21","CRY2","chr11",45884507,"Shore","TSS1500"
"cg13651554_TC21","CRY2","chr11",45884160,"Shore","TSS1500"
"cg15642285_BC21","CRY2","chr11",45884587,"Shore","TSS1500"
"cg05996224_TC21","CRY2","chr11",45847036,"Shore","TSS1500;TSS200"
"cg09659319_TC21","CRY2","chr11",45845934,"Shore","TSS1500"
"cg25736892_BC21","CRY2","chr11",45867360,"OpenSea",""
"cg17409437_BC21","CRY2","chr11",45860891,"OpenSea","exon_4;exon_4"
"cg27649007_TC21","CRY2","chr11",45885419,"Shore","TSS1500"
"cg03070592_BC21","CRY2","chr11",45843174,"OpenSea",""
"cg16280241_BC21","CRY2","chr11",45873297,"OpenSea",""
"cg10114314_BC21","CRY2","chr11",45889865,"Shelf",""
"cg01462418_BC21","CRY2","chr11",45869573,"OpenSea","exon_7;exon_7"
"cg05079837_BC21","CRY2","chr11",45867521,"OpenSea",""
"cg13809236_BC22","CRY2","chr11",45886485,"Shore",""
"cg16280303_TC21","CRY2","chr11",45880619,"OpenSea",""
"cg16280302_TC21","CRY2","chr11",45880506,"OpenSea",""
"cg16280085_BC21","CRY2","chr11",45860127,"OpenSea",""
"cg16280081_TC21","CRY2","chr11",45859977,"OpenSea",""
"cg16280045_TC21","CRY2","chr11",45856534,"OpenSea",""
"cg16280003_BC21","CRY2","chr11",45851483,"Shelf",""
"cg16279982_TC21","CRY2","chr11",45848786,"Shore",""
"cg16279981_BC21","CRY2","chr11",45848777,"Shore",""
"cg16279858_BC21","CRY2","chr11",45843940,"Shelf",""
"cg16279854_BC21","CRY2","chr11",45843849,"Shelf",""
"ch.11.939596F_BC21","CRY2","chr11",45860215,"OpenSea",""
"cg02318454_TC11","CYP11B1","chr8",142879725,"OpenSea","exon_1;exon_1"
"cg21901156_TC21","CYP11B1","chr8",142879875,"OpenSea","TSS200;TSS200"
"cg03516262_BC21","CYP11B1","chr8",142872186,"OpenSea",""
"cg17015994_BC21","CYP11B1","chr8",142879925,"OpenSea","TSS200;TSS200"
"cg01942530_BC21","CYP11B1","chr8",142880098,"OpenSea","TSS1500;TSS1500"
"cg03330425_BC21","CYP11B1","chr8",142879887,"OpenSea","TSS200;TSS200"
"cg20073007_TC21","CYP11B1","chr8",142876969,"OpenSea",""
"cg08389266_TC21","CYP11B1","chr8",142873765,"OpenSea","3UTR;exon_9;3UTR;exon_8"
"cg21298978_BC21","CYP11B1","chr8",142879975,"OpenSea","TSS200;TSS200"
"cg18936261_BC21","CYP11B1","chr8",142880918,"OpenSea","TSS1500;TSS1500"
"cg05874329_TC21","CYP11B1","chr8",142862281,"OpenSea",""
"cg16508499_BC21","CYP11B1","chr8",142880904,"OpenSea","TSS1500;TSS1500"
"cg08888896_TC21","CYP11B1","chr8",142880208,"OpenSea","TSS1500;TSS1500"
"cg10869957_TC11","CYP17A1","chr10",102845523,"OpenSea",""
"cg09201719_TC21","CYP17A1","chr10",102837133,"OpenSea","exon_1"
"cg24934431_BC21","CYP17A1","chr10",102838107,"OpenSea","TSS1500"
"cg04471890_TC21","CYP17A1","chr10",102837678,"OpenSea","TSS1500"
"cg05885577_TC21","CYP17A1","chr10",102837602,"OpenSea","TSS200"
"cg17932736_BC21","CYP17A1","chr10",102832662,"OpenSea","exon_6"
"cg27496231_TC21","CYP17A1","chr10",102831557,"OpenSea","exon_7"
"cg24525156_BC21","CYP17A1","chr10",102832610,"OpenSea","exon_6"
"cg10127942_TC21","CYP17A1","chr10",102837904,"OpenSea","TSS1500"
"cg21330020_TC21","CYP17A1","chr10",102842195,"OpenSea",""
"cg15506069_TC21","CYP17A1","chr10",102831806,"OpenSea",""
"cg15506093_BC21","CYP17A1","chr10",102832604,"OpenSea","exon_6"
"cg10756593_TC21","CYP17A1","chr10",102831487,"OpenSea",""
"cg07809032_BC21","CYP17A1","chr10",102833198,"OpenSea","exon_5"
"cg15506165_TC21","CYP17A1","chr10",102838607,"OpenSea","TSS1500"
"cg04036762_BC21","CYP17A1","chr10",102825307,"OpenSea",""
"cg15506129_BC21","CYP17A1","chr10",102835275,"OpenSea","exon_2"
"cg15506132_TC21","CYP17A1","chr10",102835335,"OpenSea","exon_2"
"cg15506127_BC21","CYP17A1","chr10",102835096,"OpenSea",""
"cg18518485_TC11","CYP21A2","chr6",32043820,"OpenSea","exon_35;exon_35;exon_4"
"cg24376689_TC11","CYP21A2","chr6",32048559,"OpenSea","exon_29;exon_29"
"cg13817395_BC11","CYP21A2","chr6",32047149,"OpenSea","TSS1500"
"cg09474017_TC11","CYP21A2","chr6",32048591,"OpenSea","exon_29;exon_29"
"cg20858622_TC11","CYP21A2","chr6",32047874,"OpenSea","exon_30;exon_30"
"cg11493661_BC11","CYP21A2","chr6",32048462,"OpenSea","exon_29;exon_29"
"cg02553302_BC11","CYP21A2","chr6",32052063,"OpenSea",""
"cg04293778_TC11","CYP21A2","chr6",32048649,"OpenSea","exon_29;exon_29"
"cg19455923_TC11","CYP21A2","chr6",32048336,"OpenSea",""
"cg14757339_BC11","CYP21A2","chr6",32042463,"OpenSea","exon_40;exon_40;exon_9"
"cg16195239_BC11","CYP21A2","chr6",32049247,"OpenSea",""
"cg27537915_TC11","CYP21A2","chr6",32052189,"OpenSea",""
"cg27643910_BC11","CYP21A2","chr6",32043798,"OpenSea","exon_35;exon_35;exon_4"
"cg13739666_BC11","CYP21A2","chr6",32046197,"OpenSea","exon_31;exon_31;TSS200"
"cg24165517_BC11","CYP21A2","chr6",32041506,"OpenSea","exon_10;3UTR;exon_9;3UTR;exon_10;3UTR;exon_9;3UTR"
"cg09115485_TC11","CYP21A2","chr6",32046828,"OpenSea","TSS1500"
"cg02432444_TC11","CYP21A2","chr6",32048437,"OpenSea","exon_29;exon_29"
"cg15786918_TC11","CYP21A2","chr6",32049312,"OpenSea","exon_28;exon_28"
"cg19964491_TC11","CYP21A2","chr6",32048459,"OpenSea","exon_29;exon_29"
"cg15727424_BC21","CYP21A2","chr6",32048323,"OpenSea",""
"cg07481886_BC21","CYP21A2","chr6",32046733,"OpenSea","TSS1500"
"cg09423875_TC21","CYP21A2","chr6",32046886,"OpenSea","TSS1500"
"cg00721819_BC21","CYP21A2","chr6",32048743,"OpenSea",""
"cg15398152_BC21","CYP21A2","chr6",32048758,"OpenSea",""
"cg25375757_BC21","CYP21A2","chr6",32046962,"OpenSea","TSS1500"
"cg13540981_TC21","CYP21A2","chr6",32043729,"OpenSea",""
"cg04182226_BC21","CYP21A2","chr6",32046523,"OpenSea","TSS1500"
"cg22616343_BC21","CYP21A2","chr6",32046604,"OpenSea","TSS1500"
"cg22474130_BC21","CYP21A2","chr6",32049271,"OpenSea","exon_28;exon_28"
"cg07292442_TC21","CYP21A2","chr6",32047936,"OpenSea","exon_30;exon_30"
"cg11554421_TC21","CYP21A2","chr6",32048913,"OpenSea",""
"cg12843528_BC21","CYP21A2","chr6",32049026,"OpenSea",""
"cg13665850_BC21","CYP21A2","chr6",32047398,"OpenSea","TSS1500"
"cg18319635_TC21","CYP21A2","chr6",32048825,"OpenSea",""
"cg02647493_BC21","CYP21A2","chr6",32051265,"OpenSea",""
"cg11325576_BC21","CYP21A2","chr6",32052051,"OpenSea",""
"cg17484510_TC21","CYP21A2","chr6",32047549,"OpenSea","TSS1500"
"cg22321671_BC21","CYP21A2","chr6",32047449,"OpenSea","TSS1500"
"cg20152300_TC21","CYP21A2","chr6",32047612,"OpenSea","TSS1500"
"cg02628680_BC21","CYP21A2","chr6",32047841,"OpenSea","exon_30;exon_30"
"cg19879189_BC21","CYP21A2","chr6",32051401,"OpenSea",""
"cg08845025_BC21","CYP21A2","chr6",32051586,"OpenSea",""
"cg10500474_TC21","CYP21A2","chr6",32048696,"OpenSea",""
"cg05298224_BC21","CYP21A2","chr6",32048583,"OpenSea","exon_29;exon_29"
"cg04841389_TC21","CYP21A2","chr6",32047306,"OpenSea","TSS1500"
"cg07441854_BC21","CYP21A2","chr6",32047116,"OpenSea","TSS1500"
"cg13771753_TC21","CYP21A2","chr6",32048293,"OpenSea",""
"cg08026412_BC21","CYP21A2","chr6",32048901,"OpenSea",""
"cg12286154_TC21","CYP21A2","chr6",32047438,"OpenSea","TSS1500"
"cg15670990_TC21","CYP21A2","chr6",32048338,"OpenSea",""
"cg07520673_BC21","CYP21A2","chr6",32051779,"OpenSea",""
"cg11431261_BC21","CYP21A2","chr6",32047520,"OpenSea","TSS1500"
"cg01716499_TC21","CYP21A2","chr6",32043793,"OpenSea","exon_35;exon_35;exon_4"
"cg02895581_BC21","CYP21A2","chr6",32049744,"OpenSea",""
"cg13409674_BC21","CYP21A2","chr6",32046699,"OpenSea","TSS1500"
"cg23881278_TC11","DRD2","chr11",113475577,"Island","TSS200;TSS200"
"cg20016411_TC11","DRD2","chr11",113474265,"Shore",""
"cg19730798_BC11","DRD2","chr11",113475479,"Island","TSS200;TSS200"
"cg06778429_TC11","DRD2","chr11",113475454,"Island","TSS200;TSS200"
"cg20007462_TC11","DRD2","chr11",113475485,"Island","TSS200;TSS200"
"cg25424123_TC11","DRD2","chr11",113405181,"OpenSea",""
"cg26896904_BC11","DRD2","chr11",113424565,"OpenSea","exon_2;exon_2"
"cg21330703_TC21","DRD2","chr11",113475666,"Shore","TSS1500;TSS1500"
"cg12758687_BC21","DRD2","chr11",113475605,"Island","TSS1500;TSS1500"
"cg10777103_TC21","DRD2","chr11",113474603,"Island",""
"cg22458194_BC21","DRD2","chr11",113474964,"Island",""
"cg21683009_BC21","DRD2","chr11",113475461,"Island","TSS200;TSS200"
"cg12176709_TC21","DRD2","chr11",113475763,"Shore","TSS1500;TSS1500"
"cg10561209_BC21","DRD2","chr11",113399646,"OpenSea","exon_8"
"cg00525373_BC21","DRD2","chr11",113437149,"OpenSea",""
